URL,STATUS,FEATURE SET
https://bcpzonasegurabeta.viabcp.com/#/iniciar-sesion,es URL seguro/legítimo,"[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, -1]"
https://www.google.com/search?q=loading+status+html&rlz=1C1ONGR_esPE1004PE1004&sxsrf=ALiCzsbJzxKxgLSExFMZfJTsk83cPL3euA:1663030060485&source=lnms&tbm=isch&sa=X&ved=2ahUKEwiH54XgxZD6AhXFJLkGHTb2AMEQ_AUoAXoECAEQAw&biw=1920&bih=961&dpr=1,es un URL sospechoso de phishing,"[-1, -1, -1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 1, 1, 0, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1]"
www.hp.com,es un URL sospechoso de phishing,"[-1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, -1, 0, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1]"
www.goo.com,es un URL sospechoso de phishing,"[-1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 0, -1, 1, -1, -1]"
www.go.com,es un URL sospechoso de phishing,"[-1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1]"
www.tiktok.com,es URL seguro/legítimo,"[-1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, -1]"
www.twitter.com,es URL seguro/legítimo,"[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, 0, 1, -1, 0, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1]"
www.kwai.com,es URL seguro/legítimo,"[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1]"
https://www.google.com/search?q=app+similar+a+tiktok&rlz=1C1ONGR_esPE1004PE1004&sxsrf=ALiCzsZ9COvjdNGTTh75-HSz04RvkhIVuQ:1663031867404&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjzt9O9zJD6AhVJH7kGHTUiBu8Q_AUoAnoECAEQBA&biw=1920&bih=961&dpr=1,es un URL sospechoso de phishing,"[-1, -1, -1, 1, 1, -1, -1, 0, -1, -1, -1, -1, -1, 1, 1, 0, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1]"
www.mercadolibre.com,es un URL sospechoso de phishing,"[-1, 1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, -1]"
